feature,importance,coefficient
feature_302,0.0648853549749202,-0.0648853549749202
feature_101,0.06457314034781143,0.06457314034781143
feature_658,0.06457314034780756,0.06457314034780756
feature_495,0.06457314034780745,0.06457314034780745
feature_705,0.06457314034780731,0.06457314034780731
feature_337,0.06456937551667175,0.06456937551667175
feature_206,0.06416228130625098,0.06416228130625098
feature_328,0.06388266711482612,-0.06388266711482612
feature_250,0.06361542790703029,0.06361542790703029
feature_216,0.06285427754484475,0.06285427754484475
feature_635,0.0627902915998992,0.0627902915998992
feature_78,0.0627902915998991,0.0627902915998991
feature_534,0.06279029159989903,0.06279029159989903
feature_69,0.062342854511296314,0.062342854511296314
feature_626,0.06234285451129175,0.06234285451129175
feature_512,0.06234285451129102,0.06234285451129102
feature_504,0.06200107480312014,-0.06200107480312014
feature_624,0.06200107480311982,-0.06200107480311982
feature_67,0.06200107480311794,-0.06200107480311794
feature_118,0.06198009460537019,0.06198009460537019
feature_107,0.06169400265336559,0.06169400265336559
feature_34,0.061500362300813495,0.061500362300813495
feature_469,0.0615003623008091,0.0615003623008091
feature_591,0.06150036230080891,0.06150036230080891
feature_460,0.061494992839584164,0.061494992839584164
feature_583,0.06149499283958328,0.06149499283958328
feature_26,0.061494992839581854,0.061494992839581854
feature_291,0.06125818196718014,-0.06125818196718014
feature_317,0.060756813957042084,0.060756813957042084
feature_313,0.06047538526143494,0.06047538526143494
feature_356,0.06037406177826151,-0.06037406177826151
feature_673,0.06026021182300738,-0.06026021182300738
feature_700,0.05991586386789588,-0.05991586386789588
feature_192,0.058598514617957086,-0.058598514617957086
feature_207,0.05835261662170801,0.05835261662170801
feature_162,0.05761758137008804,0.05761758137008804
feature_273,0.05737813693447109,-0.05737813693447109
feature_37,0.05729232639659307,0.05729232639659307
feature_487,0.057292326396588523,0.057292326396588523
feature_594,0.05729232639658844,0.05729232639658844
feature_161,0.05723062748545802,-0.05723062748545802
feature_4,0.05721140131748573,0.05721140131748573
feature_354,0.05692093458675005,-0.05692093458675005
feature_43,0.055144316631684794,-0.055144316631684794
feature_600,0.05514431663167997,-0.05514431663167997
feature_515,0.05514431663167984,-0.05514431663167984
feature_379,0.05514108380904822,-0.05514108380904822
feature_169,0.05513683203749098,0.05513683203749098
feature_134,0.05455721428551225,-0.05455721428551225
feature_397,0.054191735899584294,0.054191735899584294
feature_339,0.05347636449628847,-0.05347636449628847
feature_148,0.052635014278059625,0.052635014278059625
feature_284,0.05237427626067736,-0.05237427626067736
feature_249,0.05133068618955589,0.05133068618955589
feature_132,0.05128117643392133,-0.05128117643392133
feature_269,0.05085216678825975,0.05085216678825975
feature_235,0.050096902516510146,-0.050096902516510146
feature_335,0.05006084486103002,-0.05006084486103002
feature_234,0.049977896510947244,0.049977896510947244
feature_399,0.04970308807583532,0.04970308807583532
feature_364,0.04953592224424509,-0.04953592224424509
feature_131,0.04930409602529972,0.04930409602529972
feature_453,0.04907005736352549,-0.04907005736352549
feature_614,0.049070057363524267,-0.049070057363524267
feature_57,0.0490700573635232,-0.0490700573635232
feature_629,0.048582228877785155,0.048582228877785155
feature_521,0.048582228877785155,0.048582228877785155
feature_72,0.04858222887778304,0.04858222887778304
feature_322,0.04850236031031541,-0.04850236031031541
feature_33,0.047852615730543197,0.047852615730543197
feature_590,0.04785261573054043,0.04785261573054043
feature_535,0.047852615730539984,0.047852615730539984
feature_247,0.04751022554301528,0.04751022554301528
feature_185,0.04735374808697842,-0.04735374808697842
feature_548,0.04728584858047345,0.04728584858047345
feature_638,0.04719298598473766,-0.04719298598473766
feature_501,0.047192985984737534,-0.047192985984737534
feature_81,0.047192985984732996,-0.047192985984732996
feature_692,0.046720138084701414,-0.046720138084701414
feature_310,0.046700090492941895,-0.046700090492941895
feature_647,0.04646604516303624,-0.04646604516303624
feature_494,0.046466045163035735,-0.046466045163035735
feature_90,0.046466045163034854,-0.046466045163034854
feature_545,0.0461135456236953,-0.0461135456236953
feature_290,0.04581389887520483,-0.04581389887520483
feature_292,0.045768853151423275,-0.045768853151423275
feature_141,0.04574107705324137,0.04574107705324137
feature_381,0.045649530942590166,-0.045649530942590166
feature_467,0.04531809239318833,0.04531809239318833
feature_586,0.04531809239318643,0.04531809239318643
feature_29,0.045318092393180076,0.045318092393180076
feature_713,0.045259136090266223,0.045259136090266223
feature_209,0.04490153684775341,0.04490153684775341
feature_76,0.04489171545850906,0.04489171545850906
feature_532,0.04489171545850543,0.04489171545850543
feature_633,0.04489171545850483,0.04489171545850483
feature_114,0.044830938589758035,0.044830938589758035
feature_325,0.04483093858975745,0.04483093858975745
